ID,Age,Experience,Income,ZIP Code,Family,h1,h2,h3,h4
145,49,23,70,92093,2,14579,19434,21994,29935
146,59,35,124,90007,1,12025,17862,39399,25048
147,46,19,84,94102,1,10500,23179,30756,10261
148,50,25,83,94542,4,14760,16064,20844,20340
149,52,28,163,91423,2,10899,18703,17285,49595
150,48,22,42,93955,3,14853,16338,34429,52810
151,46,22,118,94107,2,14711,17257,39743,14052
152,26,0,132,92834,3,12358,14231,25662,50037
153,57,32,24,93117,1,10713,22994,26004,31897
154,60,36,22,94551,2,11196,23216,27346,5087
155,54,29,58,92612,4,13702,21197,26508,14936
156,24,0,60,94596,4,12895,17650,42296,4654
157,26,0,15,92131,4,11618,20698,35313,48713
158,41,17,83,94025,4,10215,22625,42165,23136
159,32,6,79,94720,2,14563,15116,38886,60422
160,61,35,41,94545,4,14285,23676,37429,22583
161,29,0,134,95819,4,12121,18787,21398,41179
162,61,35,80,95053,2,13347,15185,41015,59059
163,38,12,52,90036,1,11037,22584,20438,55579
164,28,4,70,91125,4,14544,15931,20124,23840
165,53,27,92,95120,2,14533,15230,21994,50020
166,27,1,43,94706,1,13515,17640,15533,48999
167,25,1,21,95827,3,13556,20933,36681,35819
168,33,9,23,94305,3,14760,18719,18201,66942
169,50,26,13,91320,4,13200,16663,31181,38526
170,27,1,112,90503,4,11902,24535,33953,40311
171,27,1,138,90250,2,13867,14205,20864,25048
172,52,28,11,95817,3,10345,12740,41235,41120
173,38,13,171,92717,2,11527,14970,44426,16301
174,58,34,42,90095,4,10788,16227,19981,33538
175,42,17,168,95503,2,12190,17371,37100,14166
176,45,20,85,91711,4,14220,23655,22625,12783
177,52,25,44,93111,3,13497,20942,23511,40023
178,29,3,65,94132,4,14814,17346,24747,40100
179,53,29,24,95818,4,11832,21898,23906,39620
180,62,37,11,91942,1,14760,15777,42206,28388
181,51,27,38,90401,2,13421,14690,29871,69375
182,36,12,10,93524,4,13937,22108,36214,31146
183,24,0,135,95133,1,11504,17408,36987,51473
184,29,3,148,92173,3,10187,17789,20988,74793
185,52,26,63,92717,2,11481,23402,19231,69593
186,39,14,115,91320,1,14242,20438,28618,34485
187,48,23,45,95616,1,14141,19506,43561,32845
188,46,21,159,94305,3,14329,13272,35170,35374
189,64,40,169,91320,2,12206,14945,16060,16646
190,55,29,112,94043,2,12712,18776,28619,14983
191,60,36,93,92521,1,12912,24929,31531,57514
192,51,25,29,90404,1,11531,21122,42135,60484
193,50,23,85,92122,1,13401,13168,20444,41995
194,48,24,21,93118,4,14054,14608,34416,31666
195,53,29,144,92697,2,10235,19414,36008,42471
196,34,10,13,94577,4,10892,19465,26625,24415
197,48,24,165,93407,1,14215,22522,28289,23633
198,55,31,9,91345,4,11687,16421,20212,22166
199,27,3,59,94123,4,14027,13663,19351,12369
200,36,11,158,92152,1,11860,19121,41407,62805
201,32,6,29,91355,1,12966,20920,44630,56166
202,35,9,20,94609,2,11012,13521,17475,61885
203,30,3,68,94306,4,12134,15930,41398,45424
204,58,34,65,95747,4,14679,18875,27094,31843
205,56,31,61,96150,2,13058,15417,33781,5121
206,38,12,91,95616,4,11199,18023,35468,64066
207,49,25,31,91355,1,10887,16129,24370,8135
208,34,10,71,94115,4,10125,24892,27966,53857
209,40,16,73,94110,4,13825,17981,25207,21886
210,64,39,172,94707,4,11781,24197,15621,22626
211,51,26,20,92131,2,11953,18470,18200,26492
212,44,18,55,94720,1,13490,15480,25903,2661
213,46,22,69,91604,2,12438,13212,18134,38246
214,57,33,155,91326,1,12520,20872,15795,4763
215,54,28,94,90291,1,13241,17329,41031,49268
216,38,14,92,95818,2,12737,17663,19693,19209
217,27,3,125,95521,2,13046,18968,25292,25882
218,39,14,74,94305,3,14143,13163,37518,62503
219,44,20,72,92807,3,14431,14633,32635,41971
220,56,30,61,94707,1,10398,21013,19238,40762
221,32,6,25,92130,2,10182,21827,29555,58913
222,45,19,83,95051,2,13765,22908,26279,63850
223,26,2,104,94306,3,10804,13632,23256,70624
224,55,25,41,95014,3,12770,24618,20779,42878
225,52,27,58,94305,4,10100,14817,38802,34082
226,39,13,93,94720,1,12034,17978,22422,30301
227,24,-1,39,94085,2,10459,18888,27500,57649
228,47,23,148,94551,2,13666,19739,39505,22601
229,47,22,53,92677,4,11092,24787,43956,21110
230,48,24,71,93117,2,14286,18873,17678,7877
231,47,22,92,94720,1,14647,12846,44972,70400
232,35,10,61,94304,4,13077,16236,17960,61203
233,46,19,38,94122,3,12044,16098,17403,9887
234,62,37,58,91320,4,10298,21933,18777,13814
235,26,1,80,95616,1,13933,15693,24662,11153
236,38,8,71,94720,4,13811,12705,23400,5352
237,43,18,89,93407,3,12457,21242,42361,49254
238,62,38,83,92521,1,11556,24435,37569,42890
239,57,32,28,95831,3,14125,17139,29840,55786
240,28,3,52,94112,4,11361,13465,28241,36935
241,51,26,70,90089,1,11886,14693,31717,23930
242,48,22,71,91711,1,11269,12895,18953,23714
243,41,16,75,94005,1,10419,21536,29805,59281
244,65,39,170,90095,3,14025,22536,41969,51184
245,41,17,78,94025,4,12331,14094,20963,59388
246,35,11,25,92614,2,10806,19512,21854,58596
247,38,14,60,94025,2,11006,21077,18758,24791
248,53,29,120,92626,4,11545,20588,31829,18028
249,55,29,99,92121,2,13363,12518,40016,21431
250,26,1,55,90089,3,11579,12856,15826,13316
251,30,6,29,94305,3,12476,18457,36411,46575
252,54,28,170,92182,2,11375,18029,36811,64945
253,65,40,53,91711,3,11925,17255,15510,10627
254,47,21,138,94583,1,13904,17723,16296,55358
255,65,41,134,91942,3,13715,22695,33547,8301
256,66,40,42,92103,2,11982,13376,44366,71193
257,26,0,99,92697,4,11588,19082,43078,18873
258,66,41,18,92691,3,13802,17885,28248,65748
259,35,9,24,95747,4,12610,14783,31847,4546
260,56,30,55,94107,1,12489,20900,42954,43151
261,51,27,58,92407,1,14698,16623,22615,8905
262,42,16,111,93106,2,10237,21922,33044,35808
263,49,23,33,90245,1,10841,23606,18609,69577
264,27,1,74,92121,4,12345,15169,29419,25945
265,45,19,38,90840,2,10310,22820,24687,69860
266,49,23,23,94305,4,13827,16304,26856,18120
267,63,38,61,94720,2,11191,16910,33776,29026
268,47,22,81,90504,1,13655,22638,27804,62803
269,64,39,129,94002,1,11011,22545,32434,10680
270,43,13,33,95039,1,13608,16503,23038,53528
271,60,36,63,94063,4,14340,22315,25254,31503
272,40,14,70,94923,4,12242,21668,38093,70478
273,29,3,45,95023,4,12732,19276,28697,10617
274,41,16,65,90095,3,11087,18547,23512,57972
275,30,5,74,95616,4,12845,24087,15509,3805
276,49,24,50,94706,4,11538,17600,16959,9180
277,30,5,22,90058,4,13434,17121,40541,52396
278,29,2,30,92126,4,10387,12700,39549,41831
279,50,26,21,91125,4,14065,20501,43694,25053
280,39,14,155,94577,2,10889,13374,25946,68828
281,33,8,64,92121,4,14135,19784,22888,28765
282,57,31,65,94118,4,10014,22751,34585,2828
283,34,9,71,91711,4,11114,23798,28776,19305
284,61,36,40,90029,3,11951,24058,34524,74893
285,44,19,69,92806,3,14047,15352,32190,64607
286,40,13,69,94305,3,10431,16282,26447,6358
287,51,25,45,94806,3,11556,15180,16173,70523
288,37,12,62,92110,3,13402,22714,43844,54411
289,44,19,172,94306,2,10769,17480,33288,72067
290,42,15,24,92121,3,12361,18304,19100,66889
291,51,25,80,92373,1,12409,18459,43273,33177
292,43,16,8,90089,3,10362,18047,41968,35590
293,30,5,38,94542,4,11349,24746,28065,15323
294,45,19,93,90095,4,13522,15145,29237,23262
295,35,9,55,94536,1,12242,15259,41002,38736
296,60,34,64,94304,2,10509,13486,31676,23156
297,34,9,122,90623,1,10735,15563,36946,47023
298,55,25,70,93720,3,11252,20151,18237,64456
299,43,19,81,92069,2,11562,17255,32718,20332
300,41,15,159,90057,1,14099,20515,37429,38347
301,34,9,70,92843,4,10610,16124,22433,57727
302,65,39,150,92120,2,10326,24948,41203,10433
303,45,21,152,94550,2,11464,24152,17658,52560
304,49,25,195,95605,4,14788,20976,44311,67561
305,48,23,22,90740,1,13830,13373,23069,20287
306,60,35,22,91207,1,14120,17310,21939,35342
307,55,29,79,92373,3,12488,17582,18530,65535
308,42,18,33,90401,1,12421,18850,42243,74380
309,32,8,128,94720,2,12762,21511,35568,13051
310,62,38,91,95929,1,13136,21535,31916,54815
311,57,32,39,90277,4,10977,20706,26031,29650
312,52,26,121,94550,1,12693,16591,35485,26139
313,36,6,21,91741,1,13575,23954,20264,16495
314,34,9,41,93720,3,12871,22184,39855,3140
315,63,37,45,93437,2,13757,16202,25603,14831
316,24,-2,51,90630,3,11918,19534,33343,38378
317,57,31,165,95054,1,13189,15576,37606,2551
318,40,16,119,91335,2,12882,17050,34245,66997
319,27,2,110,95670,4,13855,23866,26195,58022
320,65,39,20,90034,3,12986,14115,43728,15849
321,60,34,64,90266,1,10912,24913,42540,39251
322,44,20,101,92717,3,10945,22843,35158,2838
323,63,39,101,92007,1,10109,18291,30031,60179
324,59,34,99,90034,1,10915,19270,35070,47330
325,56,30,158,90089,4,13003,15275,39441,73095
326,54,28,89,95039,1,10192,14726,25845,17380
327,52,27,80,95616,1,11933,17087,39030,51626
328,58,32,114,91330,2,13360,12704,38783,43216
329,60,35,49,94110,3,10275,22524,32074,17619
330,28,4,191,90064,1,13119,18621,36177,9897
331,54,30,78,92374,4,12198,15747,15536,24810
332,32,6,28,94115,3,12828,22558,30799,57392
333,59,33,42,95630,1,11655,22914,34092,14042
334,63,38,140,92407,1,14486,18018,27011,68858
335,48,23,45,95053,1,11227,24143,28341,51272
336,56,32,122,95827,2,13325,24943,21875,25471
337,36,12,65,95051,3,10016,24602,31642,51095
338,57,27,68,94117,1,10191,22456,40163,73547
339,29,3,153,93657,2,13086,21704,26687,64942
340,39,13,89,92110,4,14666,24327,40647,10432
341,59,34,91,93524,1,10987,16015,39877,73714
342,31,6,55,92038,4,11348,22802,18141,11566
343,43,19,118,91304,2,11972,18617,40050,16825
344,35,5,22,93407,1,12680,16359,36537,48703
345,54,24,63,92606,3,10413,20852,30460,39160
346,51,27,12,92192,4,11948,16559,38853,32658
347,44,19,50,90745,3,11299,13845,25886,11604
348,25,0,43,94305,2,13117,16851,40432,20043
349,40,15,173,95060,4,12058,15478,32090,39343
350,26,2,60,93407,2,14724,24557,24935,33381
351,39,14,113,94301,1,11186,14972,40335,4761
352,28,4,155,92182,4,11139,23456,19571,55569
353,52,28,91,92692,4,13720,22497,26091,47163
354,53,29,55,95818,4,13000,13607,30920,23196
355,44,20,173,90277,2,11458,17232,17515,31977
356,43,19,71,92101,3,11907,20804,23903,52395
357,56,30,24,94704,2,12355,16648,29262,35087
358,38,14,42,94610,1,11637,13024,18817,20471
359,30,6,141,94539,2,11939,17214,23064,48278
360,32,6,32,93106,1,10912,20405,19156,58316
361,35,10,55,94539,4,11999,16107,26422,23352
362,43,19,153,90254,2,12403,16272,41226,31857
363,58,32,113,94590,2,14773,22975,24930,15222
364,25,0,30,92691,2,10381,18425,16156,25493
365,54,24,29,92028,3,12232,21052,17452,30720
366,57,32,174,90089,1,13487,17475,24969,37844
367,50,24,35,92717,1,14719,16822,20150,17771
368,32,8,98,95054,2,10325,20216,16383,33423
369,63,37,30,92054,2,14691,14692,18103,37573
370,31,6,58,95051,2,14178,21049,26687,31156
371,36,12,25,92101,4,12946,17225,44445,35977
372,58,34,19,92029,4,14488,19908,30493,35956
373,56,30,44,93105,4,10671,22142,22903,74338
374,49,25,20,90291,4,14136,18856,41212,17927
375,30,5,98,91941,2,12560,22191,39394,47648
376,33,7,90,92346,3,12789,24276,39488,49837
377,45,21,61,94304,3,14155,17244,23712,55200
378,30,5,40,94402,4,12101,15437,27951,74309
379,47,23,38,94618,2,10264,23063,19265,61746
380,25,0,28,92093,2,12617,22235,27406,5610
381,63,33,34,94305,1,11720,14083,31244,17967
382,55,29,73,95616,2,11314,23195,27359,38390
383,65,41,133,94904,4,12852,17517,20734,31020
384,44,18,53,94608,1,11676,24817,28336,40897
385,51,25,21,9307,4,13649,16025,23281,18057
386,35,9,40,93943,3,13416,20697,18938,36425
387,30,5,41,95051,4,14905,23501,31249,61077
388,31,5,82,95482,4,14980,22818,30198,15787
389,54,30,100,95814,4,14199,20660,19347,60631
390,45,20,155,90024,1,14098,18771,25555,50979
391,45,19,45,92521,1,14976,14631,27191,37002
392,58,32,9,94080,3,12937,17966,35157,25651
393,54,29,48,91709,4,13476,19044,24701,7171
394,53,28,18,90095,4,12316,22973,34677,11619
395,33,9,80,91311,4,11755,24434,30704,20047
396,60,35,64,94509,2,11470,15908,28148,5369
397,50,24,29,93023,4,13520,19577,19258,44026
398,26,2,48,90503,3,10444,17693,36941,43839
399,54,30,23,94608,2,14187,14439,38680,43406
400,28,3,84,90024,4,13505,13180,27341,8398
401,36,10,179,94542,3,12260,20769,43898,62828
402,29,2,30,95747,4,10358,13755,44256,73784
403,54,28,93,91604,1,10278,19510,24850,45180
404,55,30,39,92647,2,14203,15402,43006,64206
405,61,36,60,92866,3,10736,15508,23046,21619
406,36,11,133,90245,1,10063,23137,24930,42836
407,45,19,125,92354,1,13404,22734,22237,5820
408,64,40,58,93437,1,14824,15468,40534,35937
409,60,36,89,91745,2,11590,19763,28525,53050
410,49,22,82,90019,1,12158,13749,16566,11898
411,47,23,110,94111,2,12201,22003,30420,24051
412,60,36,54,92182,4,12158,13245,33958,34202
413,45,20,89,93311,4,10137,18398,16764,72563
414,32,7,42,92407,3,14105,16628,39196,28099
415,52,28,41,94309,3,10811,18303,15583,69601
416,35,8,38,93106,4,12049,22452,21616,40090
417,40,15,85,94304,2,13482,22549,31841,72218
418,53,29,83,90073,4,11017,19828,43909,31367
419,27,0,33,90089,4,10067,19389,17748,72981
420,58,33,50,94501,4,11653,23318,31612,48466
421,47,22,58,93105,4,13021,24119,26109,32476
422,28,3,115,92333,4,14438,12894,19367,5059
423,46,20,145,91380,2,12433,24330,27303,24504
424,43,19,161,95616,2,10748,18928,36038,53726
425,56,30,38,92029,1,11406,13632,36259,57180
426,28,3,28,90505,4,10349,17923,41883,23503
427,42,18,75,92182,3,13940,21994,22099,46809
428,32,7,35,92521,3,12538,13744,43385,32038
429,62,38,24,94720,2,11462,22747,34210,48765
430,37,13,78,94998,4,11510,20391,24826,52437
431,51,26,113,94086,1,10096,24753,36340,19771
432,39,13,75,94305,3,14166,17225,16834,29119
433,43,17,91,91311,1,11838,24741,42965,8848
434,52,28,31,91330,4,13036,20276,26390,25903
435,30,6,45,95819,1,14787,17640,44824,28902
436,52,26,80,94709,3,11350,21272,17585,48369
437,61,35,50,92122,3,12197,12816,22898,58761
438,36,9,31,95825,4,11046,23800,21825,42721
439,58,32,113,93943,2,11437,20363,26814,8116
440,47,23,29,94304,4,10362,19762,39567,28103
441,64,39,59,92626,2,14553,14462,18876,50365
442,52,27,43,93555,1,12098,13631,28913,19582
443,58,28,122,95136,1,14339,22407,23333,40131
444,48,24,29,90509,1,13842,19405,42854,58798
445,64,40,91,93106,2,11958,15542,42142,4597
446,58,32,65,94590,3,11093,20344,18581,53839
447,47,23,22,93108,1,14863,22527,31121,45173
448,49,23,71,95134,1,14809,20862,20253,49106
449,31,4,60,94588,4,11148,22592,37078,6075
450,61,37,60,91706,3,12299,20572,16654,54366
451,51,25,69,95747,1,12443,20703,38259,51229
452,28,-2,48,94132,2,10583,15182,22956,72952
453,39,13,21,94022,3,11857,23641,42719,6876
454,54,28,53,92109,4,12158,19968,18814,43795
455,50,24,29,94110,3,13628,23066,43578,36633
456,30,4,60,91107,4,10230,17981,41773,6793
457,64,39,42,92068,3,12509,16602,39730,16168
458,29,3,69,94303,3,13573,16812,43955,44652
459,48,24,20,95841,1,14213,15996,19006,23519
460,35,10,200,91107,2,10575,15054,21379,18582
461,60,36,141,90277,2,14674,22481,40601,27269
462,55,30,81,92123,2,14453,22486,38618,60744
463,29,4,183,91423,3,14437,19451,28295,8354
464,48,22,149,94928,2,11791,18141,43581,35635
465,43,19,83,94305,4,12189,13326,16863,22450
466,66,42,35,94305,1,13393,12897,42804,45794
467,25,0,13,91342,2,10501,16658,15837,11162
468,45,20,39,90232,1,14076,15980,28972,54988
469,34,10,21,92634,1,10138,24449,38347,18365
470,48,23,10,94609,2,12487,12977,25912,31525
471,32,6,84,91006,4,12231,15074,16328,35427
472,50,24,30,91768,4,11917,15987,35947,74381
473,43,19,31,90007,4,13930,24497,44815,38862
474,64,39,182,93955,1,11470,24392,24638,26968
475,60,34,114,90028,2,11481,22015,19442,13667
476,43,19,152,92008,3,12065,18452,39308,42306
477,60,34,53,92717,1,14561,23004,21228,54669
478,64,39,24,95112,4,13528,19808,30599,74865
479,44,20,150,95060,2,14075,17504,29019,71738
480,60,36,132,92154,2,10332,23005,30818,26514
481,54,29,68,94998,3,12799,15478,18928,20969
482,33,9,53,94063,1,11407,20232,27476,59527
483,56,32,173,94022,1,14369,14316,27367,10565
484,29,5,30,90095,3,11057,23825,25780,14567
485,25,1,113,95023,2,12397,13560,28651,29290
486,60,34,15,95014,1,12662,20281,36909,56026
487,55,30,84,92173,2,11291,23252,43821,12249
488,39,13,88,94117,4,11123,18073,39264,69914
489,37,13,43,94122,3,10654,19606,43564,51776
490,53,28,43,91380,2,10183,17091,34826,45443
491,34,10,90,94303,2,12585,15463,31538,48253
492,42,18,34,92115,4,13182,18912,41363,42537
493,60,36,38,94596,4,13615,18931,43335,41505
494,50,24,173,94720,1,13490,19569,27330,17869
495,41,17,160,92647,2,10274,18197,19782,48313
496,25,0,44,94545,4,14894,17634,20844,54541
497,50,24,83,94301,2,12927,16199,30770,56839
498,48,22,94,90623,4,12598,15685,41188,13607
499,32,8,43,95023,1,14871,20444,21468,49630
500,50,25,42,93108,3,12748,16459,20271,65502
501,59,33,34,92177,2,11940,22699,38058,8455
502,50,26,39,90640,3,14671,19167,28849,23852
503,44,19,70,92833,1,13613,13448,36742,16954
504,31,5,39,94022,4,10338,16895,31634,62642
505,40,10,44,94720,3,14919,20921,16416,19795
506,36,12,69,94305,3,14067,15600,33327,72340
507,51,25,44,94608,3,14160,22596,16653,50302
508,64,40,32,91380,3,11710,23216,18733,71770
509,47,22,15,95521,2,10337,17019,25695,24922
510,52,28,118,90503,2,13863,19264,17642,69166
511,51,26,62,95136,1,14464,14536,19627,15709
512,31,5,82,94143,4,10790,19120,28470,19024
513,39,14,54,95035,3,12121,15299,25395,20019
514,30,6,48,94607,1,11378,23333,17874,67098
515,27,1,74,91730,3,12236,23867,30994,60733
516,41,16,113,92780,1,12748,22972,16847,10790
517,53,27,81,90009,3,11331,24467,24601,40713
518,54,27,43,92834,3,11775,15038,37707,9310
519,28,4,34,92677,1,13316,24969,31187,5218
520,34,9,48,95616,1,12552,23149,33412,27143
521,61,37,54,90024,4,10245,20335,35926,12267
522,48,24,75,92518,4,12301,21374,26703,25526
523,36,11,72,91007,1,12458,13946,26992,4345
524,56,31,39,93023,4,14885,15030,33463,70409
525,24,-1,75,93014,4,11000,19172,35804,53314
526,64,38,79,94024,2,10362,12514,40802,53541
527,26,2,205,93106,1,12561,13298,29302,54877
528,33,8,65,90027,2,13103,17467,42238,7322
529,64,39,122,90089,4,11958,22261,39842,11297
530,39,15,82,95207,1,11174,19280,38880,25065
531,54,30,21,91706,2,14091,17716,42818,54722
532,32,6,50,90401,4,12844,14208,44861,13420
533,62,37,39,94305,2,11755,13117,17827,74114
534,27,2,101,92807,1,10402,17736,24456,68738
535,53,28,41,93117,2,10535,13476,27932,5009
536,51,25,132,94143,1,13474,19714,41711,59080
537,25,-1,43,92173,3,13537,24122,26131,57548
538,44,20,131,90717,1,13850,23297,30886,21505
539,31,5,11,94534,1,13030,13602,33737,45645
540,57,32,21,94720,1,12586,21621,31370,55690
541,25,-1,109,94010,4,10240,14082,29351,14609
542,30,6,141,95014,2,14961,18647,19666,17395
543,40,14,81,94709,3,12928,18888,44610,19639
544,63,38,54,94704,3,10361,16189,35691,15138
545,35,10,164,91614,2,10915,24992,17355,10628
546,43,19,28,94303,4,11621,14240,20155,49977
547,27,2,68,94025,3,14949,16057,38750,53383
548,44,14,44,94132,3,11715,16076,40972,58735
549,49,23,61,94117,1,12958,14866,38776,19633
550,61,36,35,94110,3,11506,19681,18268,29013
551,60,34,54,94301,3,10742,21107,21284,42034
552,59,34,14,93118,1,14812,21512,17075,7843
553,28,3,52,90024,4,10852,19260,30476,32952
554,52,28,101,91330,2,10019,13963,33383,67990
555,28,2,149,94720,2,13155,18494,22180,63716
556,34,8,35,92037,4,14696,19077,18776,62808
